"Statistic Label","Week","Luas Line","UNIT","VALUE"
"Passenger Journeys","2019 Week 01","Red line","Number","274139"
"Passenger Journeys","2019 Week 01","Green line","Number","275394"
"Passenger Journeys","2019 Week 02","Red line","Number","408199"
"Passenger Journeys","2019 Week 02","Green line","Number","430823"
"Passenger Journeys","2019 Week 03","Red line","Number","376785"
"Passenger Journeys","2019 Week 03","Green line","Number","442574"
"Passenger Journeys","2019 Week 04","Red line","Number","405224"
"Passenger Journeys","2019 Week 04","Green line","Number","455521"
"Passenger Journeys","2019 Week 05","Red line","Number","441197"
"Passenger Journeys","2019 Week 05","Green line","Number","471598"
"Passenger Journeys","2019 Week 06","Red line","Number","449398"
"Passenger Journeys","2019 Week 06","Green line","Number","463215"
"Passenger Journeys","2019 Week 07","Red line","Number","466795"
"Passenger Journeys","2019 Week 07","Green line","Number","473682"
"Passenger Journeys","2019 Week 08","Red line","Number","480974"
"Passenger Journeys","2019 Week 08","Green line","Number","471317"
"Passenger Journeys","2019 Week 09","Red line","Number","468299"
"Passenger Journeys","2019 Week 09","Green line","Number","461093"
"Passenger Journeys","2019 Week 10","Red line","Number","475467"
"Passenger Journeys","2019 Week 10","Green line","Number","466451"
"Passenger Journeys","2019 Week 11","Red line","Number","442796"
"Passenger Journeys","2019 Week 11","Green line","Number","482201"
"Passenger Journeys","2019 Week 12","Red line","Number","440137"
"Passenger Journeys","2019 Week 12","Green line","Number","428068"
"Passenger Journeys","2019 Week 13","Red line","Number","516298"
"Passenger Journeys","2019 Week 13","Green line","Number","487573"
"Passenger Journeys","2019 Week 14","Red line","Number","457616"
"Passenger Journeys","2019 Week 14","Green line","Number","475959"
"Passenger Journeys","2019 Week 15","Red line","Number","469346"
"Passenger Journeys","2019 Week 15","Green line","Number","476316"
"Passenger Journeys","2019 Week 16","Red line","Number","426377"
"Passenger Journeys","2019 Week 16","Green line","Number","415809"
"Passenger Journeys","2019 Week 17","Red line","Number","408238"
"Passenger Journeys","2019 Week 17","Green line","Number","393058"
"Passenger Journeys","2019 Week 18","Red line","Number","453764"
"Passenger Journeys","2019 Week 18","Green line","Number","465491"
"Passenger Journeys","2019 Week 19","Red line","Number","411312"
"Passenger Journeys","2019 Week 19","Green line","Number","406621"
"Passenger Journeys","2019 Week 20","Red line","Number","446595"
"Passenger Journeys","2019 Week 20","Green line","Number","458388"
"Passenger Journeys","2019 Week 21","Red line","Number","455929"
"Passenger Journeys","2019 Week 21","Green line","Number","446486"
"Passenger Journeys","2019 Week 22","Red line","Number","502622"
"Passenger Journeys","2019 Week 22","Green line","Number","470403"
