Location,Year,Total Passengers
Dublin,2019,274139
Dublin,2019,275394
Dublin,2019,408199
Dublin,2019,430823
Dublin,2019,376785
Dublin,2019,442574
Dublin,2019,405224
Dublin,2019,455521
Dublin,2019,441197
Dublin,2019,471598
Dublin,2019,449398
Dublin,2019,463215
Dublin,2019,466795
Dublin,2019,473682
Dublin,2019,480974
Dublin,2019,471317
Dublin,2019,468299
Dublin,2019,461093
Dublin,2019,475467
Dublin,2019,466451
Dublin,2019,442796
Dublin,2019,482201
Dublin,2019,440137
Dublin,2019,428068
Dublin,2019,516298
Dublin,2019,487573
Dublin,2019,457616
Dublin,2019,475959
Dublin,2019,469346
Dublin,2019,476316
Dublin,2019,426377
Dublin,2019,415809
Dublin,2019,408238
Dublin,2019,393058
Dublin,2019,453764
Dublin,2019,465491
Dublin,2019,411312
Dublin,2019,406621
Dublin,2019,446595
Dublin,2019,458388
Dublin,2019,455929
Dublin,2019,446486
Dublin,2019,502622
Dublin,2019,470403
Dublin,2019,422419
Dublin,2019,403850
Dublin,2019,471816
Dublin,2019,453700
Dublin,2019,444675
Dublin,2019,438533
Dublin,2019,457342
Dublin,2019,448295
Dublin,2019,498818
Dublin,2019,483470
Dublin,2019,478360
Dublin,2019,440798
Dublin,2019,452205
Dublin,2019,451753
Dublin,2019,469191
Dublin,2019,457300
Dublin,2019,422939
Dublin,2019,409513
Dublin,2019,423004
Dublin,2019,384389
Dublin,2019,445915
Dublin,2019,422762
Dublin,2019,448568
Dublin,2019,414371
Dublin,2019,442634
Dublin,2019,454721
Dublin,2019,454849
Dublin,2019,478513
Dublin,2019,469489
Dublin,2019,500329
Dublin,2019,484461
Dublin,2019,505662
Dublin,2019,515967
Dublin,2019,515970
Dublin,2019,484015
Dublin,2019,502144
Dublin,2019,534986
Dublin,2019,519763
Dublin,2019,499959
Dublin,2019,514057
Dublin,2019,502241
Dublin,2019,526281
Dublin,2019,471553
Dublin,2019,453032
Dublin,2019,497796
Dublin,2019,521908
Dublin,2019,514523
Dublin,2019,524302
Dublin,2019,530882
Dublin,2019,531392
Dublin,2019,544022
Dublin,2019,569646
Dublin,2019,519257
Dublin,2019,561534
Dublin,2019,556229
Dublin,2019,594869
Dublin,2019,550775
Dublin,2019,622699
Dublin,2019,259211
Dublin,2019,279301
Dublin,2020,304607
Dublin,2020,298391
Dublin,2020,401704
Dublin,2020,426751
Dublin,2020,436427
Dublin,2020,453378
Dublin,2020,438798
Dublin,2020,466044
Dublin,2020,460495
Dublin,2020,482333
Dublin,2020,460914
Dublin,2020,459207
Dublin,2020,448811
Dublin,2020,462651
Dublin,2020,461085
Dublin,2020,462784
Dublin,2020,437082
Dublin,2020,461774
Dublin,2020,472655
Dublin,2020,441958
Dublin,2020,347419
Dublin,2020,337090
Dublin,2020,94591
Dublin,2020,77471
Dublin,2020,64188
Dublin,2020,45190
Dublin,2020,30357
Dublin,2020,21298
Dublin,2020,31902
Dublin,2020,19793
Dublin,2020,29666
Dublin,2020,19727
Dublin,2020,33589
Dublin,2020,21657
Dublin,2020,30363
Dublin,2020,22958
Dublin,2020,37373
Dublin,2020,24953
Dublin,2020,42233
Dublin,2020,28056
Dublin,2020,57828
Dublin,2020,39490
Dublin,2020,70711
Dublin,2020,50934
Dublin,2020,66098
Dublin,2020,50356
Dublin,2020,91498
Dublin,2020,70689
Dublin,2020,104738
Dublin,2020,93298
Dublin,2020,111503
Dublin,2020,100606
Dublin,2020,132545
Dublin,2020,127756
Dublin,2020,144676
Dublin,2020,127505
Dublin,2020,147109
Dublin,2020,134146
Dublin,2020,153043
Dublin,2020,146794
Dublin,2020,175329
Dublin,2020,154650
Dublin,2020,173546
Dublin,2020,151141
Dublin,2020,166560
Dublin,2020,161421
Dublin,2020,176256
Dublin,2020,156507
Dublin,2020,183972
Dublin,2020,168074
Dublin,2020,181996
Dublin,2020,182181
Dublin,2020,196461
Dublin,2020,189424
Dublin,2020,183897
Dublin,2020,175859
Dublin,2020,158777
Dublin,2020,163607
Dublin,2020,167616
Dublin,2020,167033
Dublin,2020,174748
Dublin,2020,175280
Dublin,2020,164088
Dublin,2020,174095
Dublin,2020,145295
Dublin,2020,138343
Dublin,2020,102521
Dublin,2020,83766
Dublin,2020,118170
Dublin,2020,109435
Dublin,2020,124527
Dublin,2020,113452
Dublin,2020,129443
Dublin,2020,114833
Dublin,2020,133829
Dublin,2020,125944
Dublin,2020,195204
Dublin,2020,199409
Dublin,2020,214437
Dublin,2020,229282
Dublin,2020,223291
Dublin,2020,236739
Dublin,2020,135020
Dublin,2020,141825
Dublin,2020,71440
Dublin,2020,70211
Dublin,2021,86518
Dublin,2021,68364
Dublin,2021,83202
Dublin,2021,64705
Dublin,2021,84576
Dublin,2021,65704
Dublin,2021,84355
Dublin,2021,64278
Dublin,2021,87285
Dublin,2021,69184
Dublin,2021,86266
Dublin,2021,68329
Dublin,2021,85601
Dublin,2021,73357
Dublin,2021,95896
Dublin,2021,77563
Dublin,2021,99907
Dublin,2021,82639
Dublin,2021,100098
Dublin,2021,82245
Dublin,2021,97816
Dublin,2021,86775
Dublin,2021,103504
Dublin,2021,90954
Dublin,2021,104351
Dublin,2021,88872
Dublin,2021,94942
Dublin,2021,80488
Dublin,2021,118595
Dublin,2021,113900
Dublin,2021,126802
Dublin,2021,113419
Dublin,2021,125669
Dublin,2021,111451
Dublin,2021,112233
Dublin,2021,104694
Dublin,2021,157788
Dublin,2021,146271
Dublin,2021,181324
Dublin,2021,174751
Dublin,2021,202202
Dublin,2021,186077
Dublin,2021,210560
Dublin,2021,170908
Dublin,2021,196288
Dublin,2021,179995
Dublin,2021,219396
Dublin,2021,195584
Dublin,2021,218088
Dublin,2021,195099
Dublin,2021,218863
Dublin,2021,189741
Dublin,2021,216285
Dublin,2021,186974
Dublin,2021,225848
Dublin,2021,191971
Dublin,2021,228641
Dublin,2021,187718
Dublin,2021,201734
Dublin,2021,189854
Dublin,2021,203388
Dublin,2021,182820
Dublin,2021,231872
Dublin,2021,198411
Dublin,2021,235705
Dublin,2021,205599
Dublin,2021,239564
Dublin,2021,222808
Dublin,2021,230456
Dublin,2021,226231
Dublin,2021,245380
Dublin,2021,244968
Dublin,2021,249168
Dublin,2021,256618
Dublin,2021,268040
Dublin,2021,284193
Dublin,2021,270932
Dublin,2021,280322
Dublin,2021,290380
Dublin,2021,302283
Dublin,2021,262502
Dublin,2021,313186
Dublin,2021,301424
Dublin,2021,305350
Dublin,2021,279174
Dublin,2021,266874
Dublin,2021,308166
Dublin,2021,308644
Dublin,2021,310262
Dublin,2021,319985
Dublin,2021,306977
Dublin,2021,310783
Dublin,2021,309178
Dublin,2021,304214
Dublin,2021,300053
Dublin,2021,297205
Dublin,2021,281430
Dublin,2021,268744
Dublin,2021,327777
Dublin,2021,321796
Dublin,2021,202322
Dublin,2021,201673
Dublin,2021,148925
Dublin,2021,129279
Dublin,2022,184047
Dublin,2022,161546
Dublin,2022,225426
Dublin,2022,208488
Dublin,2022,241094
Dublin,2022,221737
Dublin,2022,274293
Dublin,2022,263636
Dublin,2022,293209
Dublin,2022,278664
Dublin,2022,298548
Dublin,2022,288350
Dublin,2022,295635
Dublin,2022,284200
Dublin,2022,302427
Dublin,2022,274866
Dublin,2022,319517
Dublin,2022,287557
Dublin,2022,316221
Dublin,2022,274731
Dublin,2022,314256
Dublin,2022,262354
Dublin,2022,310281
Dublin,2022,293111
Dublin,2022,337105
Dublin,2022,295716
Dublin,2022,333218
Dublin,2022,306988
Dublin,2022,345061
Dublin,2022,273971
Dublin,2022,340040
Dublin,2022,277480
Dublin,2022,326313
